Soru,Doğru Cevap,Seçenek 1,Seçenek 2,Seçenek 3
48 sayısı en yakın onluğa yuvarlandığında kaç olur?,50,40,45,60
32 sayısı en yakın onluğa yuvarlandığında kaç olur?,30,40,20,35
Birler basamağı 5 veya daha büyük olan sayılar hangi onluğa yuvarlanır?,Sonraki onluğa,Önceki onluğa,En yakın beşliye,En küçük onluğa
Yuvarlama yaparken sayı 4 ile biterse hangi onluğa yuvarlanır?,Önceki onluğa,Sonraki onluğa,10’a,50’ye
Yuvarlama makinesinde 8 yazan deliğe atılan sayı hangisinin birler basamağıdır?,8,18,88,2
Yuvarlama makinesinde pinpon topları neyi temsil ediyor?,Sayıları,Soruları,Oyunları,Öğretmenleri
Yuvarlama makinesinde sayı 48 için doğru hedef nedir?,50,40,45,48
Yuvarlama ne işe yarar?,Sayıları kolaylaştırır,Toplama yapar,Zihinden çıkarma yapar,Bölme yapar
En yakın onluğa yuvarlama yapılırken hangi basamağa bakılır?,Birler basamağı,Onlar basamağı,Yüzler basamağı,Sıfırlar
Öğretmenin gösterdiği yuvarlama planında ne vardı?,Makine ve delikler,Sadece pinpon topu,Sayı kartları,Oyuncaklar
