sure,soru,a,b,c,d,cevap
43,"Sevgili çocuklar, sizce “Çanakkale Geçilmez” ne demektir?",Çanakkale Savaşı’nda Türk askerlerinin büyük bir kahramanlıkla vatanı savunarak düşmanı geçirmemesi anlamına gelir.," Çanakkale'de hiç savaş olmamıştır, bu yüzden kimse geçememiştir. ",Çanakkale sadece turistlere kapalı olduğu için geçilemez denmiştir. ,Çanakkale’de köprü olmadığı için geçmek mümkün olmamıştır.,0
97,Çocuklar haftasonu gezisi için hangi şehri ziyaret edecekler?,Edirne,Sivas,Çanakkale,Kaysei,2
135,Cephe ne demektir?,Savaşın yapıldığı yer,Askerlerin sığınağı,Askerlerin yemek yediği yer,,0
180,Düşmanlar Çanakkale'yi geçip hangi şehire gitmek istiyorlardı?,Samsun,İstanbul,Ankara,,1
200,Bu gördüğünüz top mermisi kaç kg ağırlığında olabilir?,10,200,275,300,2
223,275 kiloluk top mermisini taşıyan kahraman askerrin adı nedir?,Seyit Onbaşı ,Koca Yusuf,Naim Süleymanoğlu ,Kara Fatma,0
282,Düşman gemilerinin geri dönmesini sağlayan mayın gemisinin adı nedir?,Seyit,Nusret,Murat,,1
311,Conk bayırından savaşı yöneten komutan kimdir?,Enver Paşa,Gazi Osman Paşa,Mustafa Kemal Atatürk,Kazım Karabekir,2
341,Şehit ne demektir?,Vatanını korumak için yaralanan kişi,Vatanını korumak için askere giden kişi,Vatanını korumak için canını veren kişi,,2
371,Sizce Çanakkale’yi “geçilmez” yapan nedir?,"Türk askerlerinin vatan sevgisi, cesareti ve birlik ruhu",Düşman gemilerinin yanlış yola sapması,Havanın çok yağmurlu olması,Çanakkale’de hiç savaş olmaması,0
434,Çanakkale'yi geçilmez kılan aşağıdakilerden hangisidir?,Askerlerin cesareti ve merhameti,Askerlerin azmi ve kararlılığı,Çanakkale ruhu,hepsi,3
